Time	D
11:59:00	65
12:00:00	52
12:01:00	24
12:02:00	34
12:03:00	43
12:04:00	0
12:05:00	0
12:06:00	34
12:07:00	0
12:08:00	0
12:09:00	0
12:10:00	41
12:11:00	177
12:12:00	169
12:13:00	123
12:14:00	117
12:15:00	134
12:16:00	172
12:17:00	151
12:18:00	61
12:19:00	25
12:20:00	22
12:21:00	0
12:22:00	0
12:23:00	20
12:24:00	6
12:25:00	18
12:26:00	14
12:27:00	30
12:28:00	23
12:29:00	25
12:30:00	49
12:31:00	52
12:32:00	13
12:33:00	50
12:34:00	40
12:35:00	0
12:36:00	0
12:37:00	0
12:38:00	0
12:39:00	0
12:40:00	51
12:41:00	136
12:42:00	72
12:43:00	0
12:44:00	0
12:45:00	0
12:46:00	0
12:47:00	0
12:48:00	20
12:49:00	22
12:50:00	17
12:51:00	7
12:52:00	57
12:53:00	115
12:54:00	15
12:55:00	5
12:56:00	0
12:57:00	0
12:58:00	0
12:59:00	0
13:00:00	69
13:01:00	28
13:02:00	0
13:03:00	0
13:04:00	0
13:05:00	0
13:06:00	0
13:07:00	0
13:08:00	0
13:09:00	0
13:10:00	0
13:11:00	0
13:12:00	0
13:13:00	0
13:14:00	0
13:15:00	0
13:16:00	0
13:17:00	0
13:18:00	0
13:19:00	0
13:20:00	0
13:21:00	0
13:22:00	0
13:23:00	0
13:24:00	21
13:25:00	0
13:26:00	0
13:27:00	0
13:28:00	0
13:29:00	0
13:30:00	0
13:31:00	0
13:32:00	0
13:33:00	0
13:34:00	0
13:35:00	0
13:36:00	0
13:37:00	0
13:38:00	0
13:39:00	0
13:40:00	0
13:41:00	0
13:42:00	0
13:43:00	0
13:44:00	0
13:45:00	67
13:46:00	20
13:47:00	0
13:48:00	0
13:49:00	0
13:50:00	0
13:51:00	0
13:52:00	0
13:53:00	0
13:54:00	0
13:55:00	0
13:56:00	0
13:57:00	0
13:58:00	0
13:59:00	0
14:00:00	0
